vrn,make,colour,dateOfManufacture
asdfasf,makerzz,rainbow,00/00-00
e065 TYE,MErCEdeS,ReD,02/10/1986
CZ50PNi,mErcedes,BlaCK,16/01/1944
jP23 GDP,bMw,REd,31/08/1978
nl35iGA,mErceDeS,BLuE,21/05/2014
bO43Xap,AUdI,Red,23/07/1909
ML 54stQ,MerceDes,Purple,20-11-1812
Pb02 ECi,MeRceDes,Green,08/08/2070
Ca86AVh,bmw,bLue,30/09/1932
EQ22 HZn,Bmw,blaCk,02/09/1926
Lt94 Yga,mErcEdEs,bLuE,29/12/2016
Sa61 cAy,AudI,ReD,01/02/1973
Hz32 SZN,vw,Purple,27/02/1933
HW31vPc,bMw,WhITe,18/11/2016
nD30 vQX,bMw,BLACk,23/09/1954
LV56 mrA,VW,wHitE,28/08/1907
gR19uFs,BMW,blACK,22/07/1903
Xf45Ake,vW,BLACK,24/05/1965
Ip30 vuu,BMM,blUe,17/04/1944
LRD7Ev,Vw,WHITe,29/02/1940
Lk32 OGg,audI,BLue,13/01/2082
hM99QaH,mErcEdES,red,11/04/1919
sE79jCU,VW,wHItE,17/09/2014
V366GML,auDi,rEd,10/07/1960
iG98 GBO,BMM,Wh!te,16/03/2011
pl90 LMT,Bmw,rEd,06/01/1940
uZ76 vcX,BM!,Red,04/06/1984
BY71 VLB,BMW,BLACk,05/05/2041
Yf77OKr,bMw,Purple,15/12/1921
BD 93kPu,mErcedES,bLUE,25/05/1939
Jr49gof,bMw,blaCK,18/08/1985
If31 gsB,audi,reD,13/06/2028
SJ38xrA,bMW,BLuE,12/07/1980
Hk56bbR,VW,Wh!te,25/06/1940
Vv21jJd,BMW,blacK,16/11/1987
KA00 Lku,auDI,red,29/11/1963
oA76 YLH,Audi,BlUE,11/04/1925
hm50joO,BM!,BLack,15/08/1942
bJ37 YAy,vW,Purple,15/11/2072
HB34bEb,merCEdEs,whIte,09/05/1944
Ks02SeW,bmW,wHIte,25/05/1901
DR62ZNp,BM!,reD,26/01/1967
At90 EVR,BMM,WhiTe,20/04/1957
PR89ajO,AUdI,bluE,19/06/1924
NU33QfV,mercEdes,REd,09/06/1975
mY50wNL,meRcEdeS,wHiTe,13/01/1997
ug31JMu,Bmw,ReD,20/08/1917
lS50 iwa,MeRCedES,bluE,25/12/1908
jc12 gyp,BMw,WHITE,05/09/1982
Iu00rXr,bMw,Purple,03/03/1969
Cf50 EVT,BM!,bLuE,06/03/2013
Ae98 mnM,MerCEdEs,bluE,07/07/1945
Jz91OSH,BMM,bLack,30/01/2009
fV74IFh,aUdI,Purple,02/06/1968
EW80 nbj,BMW,WhITe,11/04/2020
Pg90 nZa,auDI,blue,29/05/1918
GX73EyL,MERCEdeS,bluE,27/06/1958
JM67 KDg,mERCedeS,BlUe,22/10/1933
eM86CyV,audi,wHiTe,05/06/1993
tN27lsp,BMW,BLaCk,20/09/1975
mB34tYo,mERcEdes,bLuE,07/11/2019
bx27SuX,SKODA,BlUe,28-08-1841
xV 92xaE,MERCeDEs,BlACK,19/07/1973
yw20 YAB,AuDI,wHite,18-02-1825
oz39YOR,MERCeDEs,rEd,30/06/1914
nV76 UKJ,vw,rEd,13/07/2007
gO01ZZb,aUDi,wHiTe,03/10/1955
yh75 nlq,vw,BLACk,17/09/1935
tI59EAs,vw,whITE,25/01/1932
XV22qRW,BMw,REd,07/10/1977
om99 UhE,SKODA,White,22/10/1952
vC59uPn,Bmw,red,11/02/1957
tU83ptA,MeRcEdes,WhITE,20/03/2021
A739Pxu,vw,whiTe,12/05/1933
lj06moA,aUdI,WHitE,05/12/1966
KW68 nLs,auDi,Wh!te,20/03/1996
ZO26 tEM,vw,WhItE,17/04/1977
Mn45 hES,BMw,BLUE,21/04/1972
Yp19 jjI,mERCeDEs,reD,02/08/1926
Zi89 DtZ,aUDi,BLack,09/01/1920
cP45zpg,MeRCEDeS,whITe,04/11/1902
xY03Xby,aUdi,Green,26/01/2068
jp14 qyS,VW,Red,30/05/1994
SN79jpC,aUdi,bLACk,15/01/1925
hG39NAp,BMw,WHItE,04/02/1933
vy68 idI,bmw,bluE,09/02/2045
dI04 OIW,BMM,BlUE,17/08/1939
eO88qzC,meRCEdES,Green,19/11/1919
d261 Yyo,AuDi,red,19/08/1909
in28 XRe,AUdi,WhitE,10/12/1970
OA46GHS,mErCEdes,BlUe,05/01/1913
IL42 Lji,Vw,BlaCk,04/05/1928
DQ30 ovZ,meRCEDES,BLAcK,28/04/1992
DY04 dZf,auDI,rEd,28/09/1972
kt74jTt,bmw,whITE,23/04/1904
DG33 Izl,merCeDES,blaCk,15/11/1960
YD77 sYk,VW,blacK,21/08/1995
LB85 pwW,bmW,WHIte,07/05/1923
Kz41MDk,BM!,BluE,09/08/1932
nR17PZg,audi,BLue,07/05/1950
bf83 QsD,vW,bLUE,12/01/1991
Fsh5 Rb,BM!,bLUE,11/05/2015
sE32cSd,bmW,bluE,18/05/1912
Wi 16bFC,SKODA,WHiTE,01/07/1965
Ay69Hby,bmw,white,04/11/1973
SW83tWP,meRCEDES,Blue,2-11-1850
CM73oHp,vW,bLuE,20/11/2049
tY85 KiZ,BM!,Green,12/01/2017
jz42CSf,meRCeDEs,BluE,13/05/1965
AE79 Keb,AUdI,Blue,16/10/1995
NO47YQG,mErcEDeS,blAck,17/08/2015
d341 XsY,aUdi,WhIte,07/09/1913
lN06uJE,BmW,rEd,06/08/1977
gA11MQo,AUDI,RED,23/10/2004
Td77ctd,BMW,BlACK,22-06-1888
rR29 nEE,BM!,BLUe,05/09/1965
oz11 uil,bmw,whiTe,25/01/2005
dN32 EPa,BMM,Red,12/02/1969
zE23 IuX,BMw,bLUE,30/11/1937
